US State,Crop Name,Input N,Output N,Input P,Output P,Input K,Output K
Alabama,"Amaranth",50,5,40,47,2,34
Alabama,"Butterfly Weed",21,28,8,20,31,5
Alabama,"Mustard Seeds",41,0,21,10,16,0
Alabama,"White Melilot",45,17,46,22,42,49
Alabama,"St. John's Wort",42,25,42,32,36,8
Alabama,"Willow",6,18,35,4,5,48
Alabama,"Yerba Mate",27,19,28,23,49,45
Alabama,"Olive Tree",19,20,45,4,1,13
Alabama,"Rheumatism Root",7,35,47,47,20,32
Alabama,"Licorice",33,42,1,29,4,1
Alabama,"Brazil Nuts",1,34,41,2,31,43
Alabama,"Bay",38,13,24,5,3,20
Alabama,"Amy Root",26,9,23,10,29,11
Alabama,"Hoary Ragwort",32,39,38,23,0,14
Alabama,"Cantaloupes",18,36,5,8,22,50
Alabama,"Cassava",45,37,14,48,1,19
Alabama,"Bermuda Grass",50,18,8,35,48,28
Alabama,"Jackfruit",9,41,3,11,6,9
Alabama,"Feverbush",25,20,47,41,16,47
Alabama,"Elegant Lupine",42,19,27,34,27,28
Alabama,"Green Beans",15,9,35,1,50,31
Alabama,"Bird's Nest",37,2,14,16,28,35
Alabama,"Henna",20,8,23,45,24,31
Alabama,"Napa Cabbage",36,50,33,42,30,3
Alabama,"Sainfoin",33,19,8,12,4,7
Alabama,"Cottonseed",7,29,48,14,22,9
Alabama,"Olive",36,5,19,20,41,28
Alabama,"Chrysanthemum",37,49,42,7,43,24
Alabama,"Indian Fig",0,40,14,27,45,17
Alabama,"Parsnips",15,9,5,27,13,25
Alabama,"Mulberry Tree",41,27,22,25,50,34
Alabama,"Caimito",31,24,29,0,33,0
Alabama,"Raspberry",13,7,3,10,24,4
Alabama,"Multiflora Rose",14,29,9,29,48,18
Alabama,"Cowpeas",18,19,27,49,40,26
Alabama,"Rice",39,29,4,14,2,50
Alabama,"Buffalo Weed",17,43,28,6,46,8
Alabama,"Triticale",40,34,4,22,43,41
Alabama,"Corn",4,37,24,46,9,1
Alabama,"Bamboo Shoots",37,23,8,1,18,47
Alabama,"Duscle",40,39,47,12,21,25
Alabama,"Tobacco",22,28,4,5,37,41
Alabama,"Neem",28,19,20,22,12,11
Alabama,"Hops",31,6,31,33,14,18
Alabama,"Soybeans",35,29,7,4,28,20
Alabama,"Juniper Berries",27,7,1,37,6,4
Alabama,"Cherimoya",13,29,32,37,27,33
Alabama,"Cucumbers",26,5,0,5,11,50
Alabama,"Coconut Palm",3,11,43,50,49,41
Alabama,"Butterfly Flower",44,6,12,40,37,48
Alabama,"Plantains",38,7,1,23,19,44
Alabama,"Sesame",19,41,5,20,6,0
Alabama,"Sapote",23,24,19,34,45,45
Alabama,"Box",47,17,39,11,30,36
Alabama,"Catnip",4,20,45,33,13,12
Alabama,"Honey Clover",20,27,29,48,25,6
Alabama,"Bearberry",37,46,26,9,38,48
Alabama,"Teff",31,50,21,14,12,50
Alabama,"Tarragon",5,48,44,8,0,12
Alabama,"Rhodiola",5,18,9,49,7,43
Alabama,"Guayule",14,18,35,43,5,2
Alabama,"Noni Fruit",28,41,25,17,49,19
Alabama,"African Rice",31,28,50,47,27,11
Alabama,"Brussels Sprouts",21,35,50,35,29,19
Alabama,"Camu Camu",12,32,0,14,49,46
Alabama,"Chicory",21,29,42,0,29,1
Alabama,"Asparagus",47,44,4,45,21,36
Alabama,"Grapes",34,49,43,27,44,29
Alabama,"Foxglove",3,49,34,16,14,32
Alabama,"Rantipole",39,5,24,24,14,50
Alabama,"Burdock",41,0,39,9,36,11
Alabama,"Oil Palm",45,4,11,11,25,49
Alabama,"Sugarcane",25,33,35,39,10,48
Alabama,"Snake Gourd",42,41,31,35,37,4
Alabama,"Thyme",44,33,46,40,50,4
Alabama,"Napier Grass",27,34,40,22,5,27
Alabama,"Turnips",14,42,39,13,50,49
Alabama,"Mangos",47,2,38,19,1,17
Alabama,"Sweet Rocket",8,17,36,16,6,13
Alabama,"Strawberries",31,27,37,4,48,22
Alabama,"Yellow Rocket",12,28,18,5,36,2
Alabama,"Dwarf Wild Rose",29,47,7,29,5,40
Alabama,"Woad",42,39,25,30,23,20
Alabama,"Nectarines",42,45,23,50,39,4
Alabama,"Okra",44,41,47,4,27,17
Alabama,"Oxford Ragwort",18,4,8,24,34,1
Alabama,"Silver Ragwort",28,38,4,36,39,27
Alabama,"Stinging Nettle",18,25,34,14,6,49
Alabama,"Bugle",39,26,27,1,7,5
Alabama,"Spelt",40,46,24,41,13,39
Alabama,"Moringa",0,10,3,37,7,16
Alabama,"Onions",6,15,21,2,30,49
Alabama,"Rubber Tree",1,25,14,29,17,27
Alabama,"Husk Tomato",22,47,49,16,37,28
Alabama,"Bell Peppers",28,33,25,34,24,32
Alabama,"Bell Pepper (Green)",6,29,35,49,13,8
Alabama,"Cilantro",26,27,33,49,10,42
Alabama,"Chamomile",30,3,0,28,30,31
Alabama,"Macadamia Nuts",4,39,31,3,2,24
Alabama,"Kudzu",32,10,10,10,42,2
Alabama,"Peanuts",12,42,25,17,32,26
Alabama,"Blackberries",4,48,21,42,21,40
Alabama,"Apricots",7,10,50,11,10,16
Alabama,"Rose",39,26,27,44,17,12
Alabama,"Pigeon Peas",28,3,38,5,33,17
Alabama,"Passionfruit",47,20,5,36,20,4
Alabama,"Low Rose",38,14,12,6,32,6
Alabama,"Asian Rice",36,26,20,22,27,17
Alabama,"Raspberries",46,14,5,9,34,3
Alabama,"Marigold",32,15,26,7,45,27
Alabama,"Rapeseed",22,30,29,21,33,47
Alabama,"Fenugreek",16,19,35,5,15,43
Alabama,"Redweed",17,33,31,46,27,27
Alabama,"Guavas",41,36,15,20,3,2
Alabama,"Borage",16,34,28,4,20,5
Alabama,"Basil",34,46,18,48,7,3
Alabama,"Daisy",32,14,34,15,11,33
Alabama,"Feverfew",38,20,28,26,40,28
Alabama,"Fennel Seeds",16,17,18,11,48,47
Alabama,"Tomatoes",44,44,15,27,2,18
Alabama,"Sunflowers",0,48,18,5,23,50
Alabama,"Turmeric",3,36,31,32,1,18
Alabama,"Common Ragweed",25,7,38,25,7,25
Alabama,"Timothy Grass",20,41,38,2,23,28
Alabama,"Black-eyed Susan",49,38,31,9,28,17
Alabama,"Mizuna",35,20,9,3,47,15
Alabama,"Almonds",40,6,23,42,49,44
Alabama,"Oregano",34,48,8,46,36,21
Alabama,"Pepino Melon",18,21,44,7,39,25
Alabama,"Pears",1,10,3,29,41,35
Alabama,"Extinguisher Moss",46,42,37,42,4,41
Alabama,"Blue-of-the-heavens",33,20,14,30,22,40
Alabama,"Pumpkins",34,6,26,29,49,27
Alabama,"Birch",24,15,6,32,50,43
Alabama,"Canabis",26,35,1,34,21,37
Alabama,"Bananas",50,38,15,5,19,49
Alabama,"Peas",39,32,13,16,5,31
Alabama,"Salsify",9,17,41,4,43,18
Alabama,"Eytelia",21,8,33,38,3,21
Alabama,"Dindle",49,4,50,7,0,3
Alabama,"Rocket",30,25,3,24,46,1
Alabama,"Pine Nut Tree",38,23,30,16,32,15
Alabama,"Figs",46,45,36,19,3,10
Alabama,"Goosefoot",32,39,26,44,31,2
Alabama,"Mung Beans",1,2,38,14,35,43
Alabama,"Caraway",12,25,32,50,13,18
Alabama,"Coffee",44,1,47,28,15,19
Alabama,"Caper",22,44,39,27,6,0
Alabama,"Nutmeg",4,41,25,20,29,30
Alabama,"Honeydew",41,49,50,19,46,43
Alabama,"Coconuts",27,33,37,33,0,27
Alabama,"Clementines",25,44,48,7,50,34
Alabama,"Baobab Fruit",22,25,48,39,15,34
Alabama,"Chickory",13,43,6,43,46,49
Alabama,"Black Beans",38,38,9,49,8,48
Alabama,"Peaches",13,32,10,42,9,47
Alabama,"Limes",35,34,23,45,0,21
Alabama,"Bola Verde",12,24,41,40,26,6
Alabama,"Sorghum",19,35,5,5,23,29
Alabama,"Great Ragweed",40,24,10,45,14,38
Alabama,"Durian",18,44,4,32,33,2
Alabama,"Blueberries",42,15,11,50,14,37
Alabama,"Anaheim Pepper",46,45,23,6,16,0
Alabama,"Eucalyptus",7,27,37,9,10,11
Alabama,"White Sweetclover",4,22,16,33,46,48
Alabama,"Blackberry",19,40,13,8,2,28
Alabama,"Winged Beans",40,44,48,9,0,36
Alabama,"Flaxseed",39,39,20,1,48,27
Alabama,"Barley",1,32,11,22,41,28
Alabama,"Kava",25,23,30,36,18,13
Alabama,"Fumewort",15,9,30,0,21,37
Alabama,"Saffron",36,19,37,16,37,24
Alabama,"Pistachios",50,0,33,28,21,33
Alabama,"Radishes",11,2,43,31,37,50
