US State,Crop Name,Input N,Output N,Input P,Output P,Input K,Output K
Alabama,Blue Java Banana,20,27,50,13,19,10
Alabama,Gooseberries,17,21,28,17,24,39
Alabama,Water Chestnuts,48,48,6,32,43,12
Alabama,Longan,46,22,46,14,12,23
Alabama,Collard Greens,3,5,30,30,36,47
Alabama,Bitter Melon,30,25,28,11,32,17
Alabama,Yellow Squash,11,19,10,8,48,45
Alabama,Wormwood,35,38,2,27,33,13
Alabama,Cabbage,38,9,25,11,36,27
Alabama,Lupins,26,25,48,14,29,25
Alabama,Arrowroot,41,50,1,41,38,9
Alabama,Tamarinds,31,25,23,44,28,37
Alabama,Coffee,25,45,48,46,1,10
Alabama,Quinoa,9,24,4,6,0,26
Alabama,Radishes,8,36,3,28,41,46
Alabama,Lima Beans,40,40,24,35,19,10
Alabama,Anaheim Pepper,18,22,47,14,15,26
Alabama,Red Banana,44,39,40,24,1,33
Alabama,Fennel,21,17,24,7,35,33
Alabama,Elderberries,28,39,36,44,50,8
Alabama,Cayenne Pepper,4,39,24,11,48,40
Alabama,Tamarinds,10,35,14,28,0,38
Alabama,Parsnips,15,16,38,11,8,40
Alabama,St. John's Wort,38,29,25,50,3,22
Alabama,Acorn Squash,34,41,27,10,11,28
Alabama,Bamboo Shoots,49,37,18,26,27,33
Alabama,Lotus Roots,43,3,43,47,23,6
Alabama,Fava Beans,49,22,37,35,40,25
Alabama,Kudzu,1,43,47,36,17,19
Alabama,Hazelnuts,27,46,17,34,29,3
Alabama,Swiss Chard,9,15,18,5,19,16
Alabama,Macadamia Nuts,36,35,7,20,18,38
Alabama,Tatsoi,19,10,6,42,30,37
Alabama,Coconuts,18,28,50,46,42,10
Alabama,Teak,11,1,42,20,18,0
Alabama,Kudzu,20,42,40,5,40,3
Alabama,Loquat,22,38,23,44,42,45
Alabama,Rye,37,41,11,39,12,17
Alabama,Peanuts,49,1,34,17,9,34
Alabama,Lettuce,4,18,34,19,47,24
Alabama,Avocado,34,5,34,14,42,21
Alabama,Cilantro,6,47,45,8,11,23
Alabama,Neem,41,20,7,14,47,16
Alabama,Cork Oak,33,2,2,6,13,26
Alabama,Cantaloupes,14,50,23,31,30,34
Alabama,Maize,24,34,1,3,8,44
Alabama,Barley,15,20,9,50,0,12
Alabama,Teak,16,20,34,38,17,28
Alabama,Pumpkins,49,28,12,41,18,21
Alabama,Yerba Mate,10,50,10,19,47,38
Alabama,Cowpeas,9,14,40,33,41,6
Alabama,Goosefoot,12,8,12,25,43,20
Alabama,Spinach,25,0,6,0,10,1
Alabama,Agave,4,27,14,49,30,6
Alabama,Apples,33,29,17,15,10,43
Alabama,Rosemary,24,18,10,18,4,37
Alabama,Rhodiola,47,50,39,33,21,35
Alabama,Honeydew,46,21,6,44,21,49
Alabama,Hemp,15,12,47,24,28,28
Alabama,Black Beans,7,45,20,22,4,2
Alabama,Sorghum,33,34,44,11,44,31
Alabama,Cowpeas,17,25,34,33,13,14
Alabama,Almonds,45,33,13,49,23,24
Alabama,Oil Palm,49,15,47,30,28,30
